This file was created by CMPT_ME_BEME_RETS_WEEKLY using the 201608 CRSP database.,,,,
The Tbill return is the weekly rate that, over four weeks, ,,
compounds to 1-month TBill rate from Ibbotson and Associates Inc.,,,,
,,,,
,Mkt-RF,SMB,HML,RF
19321224,-4.95,-0.93,-5.01,0.003
19321231,3.62,-1.02,4.99,0.003
19330106,4.75,1.32,6.45,0.003
19330114,-0.11,-0.67,0.93,0.003
19330121,-1.59,-0.55,-0.35,0.003
19330128,-1.4,0.41,-0.18,0.003
19330204,-5.82,0.27,2.38,-0.007
19330211,3.44,-3.17,3.48,-0.007
19330218,-5.64,0.51,-1.65,-0.007
19330225,-8.94,1.34,-4.31,-0.007
19330303,3.64,-5.66,2.99,0.011
19330318,13.08,5.28,9.42,0.011
19330325,-6.17,-0.1,-1.52,0.011
19330401,-4.94,-0.1,-3.08,0.024
19330408,5.49,-0.28,2.06,0.024
19330415,5.87,2.57,-2.55,0.024
19330422,15.55,-3.55,15.32,0.024
19330429,7.08,6.87,-2.45,0.024
19330506,2.53,9.33,0.88,0.011
19330513,5.5,3.88,2.27,0.011
19330520,-0.3,9.14,0.79,0.011
19330527,11.9,6.3,-1.92,0.011
19330603,3.31,3.9,7.59,0.006
19330610,5.63,3.32,-2.02,0.006
19330617,-5.11,-4.11,-0.29,0.006
19330624,6.45,5.24,-0.18,0.006
19330701,5.64,1.21,4.14,0.005
19330708,6.01,-1.42,9.57,0.005
19330715,0.15,2.71,-3.25,0.005
19330722,-18.85,-4.78,-5.97,0.005
19330728,7.6,6.25,7.32,0.005
19330804,-2.59,0.78,-1.41,0.006
19330811,4.88,-1.72,0.2,0.006
19330818,-0.03,0.51,-3.03,0.006
19330825,6.4,-4.23,4.01,0.006
19330901,-0.53,-0.12,-1.74,0.004
